Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
40.057,5791.407,40.068,5543.184,40.126,6148.838,40.038,2077.422,40.081,4058.685
40.127,6269.887,40.118,5609.481,40.325,6108.238,40.08,4374.539,40.155,4552.038
40.188,6252.214,40.2,5784.035,40.446,6093.388,40.106,4631.344,40.221,4712.152
40.292,6853.611,40.273,5795.86,40.626,6098.617,40.121,4740.423,40.308,4807.37
40.367,7059.229,40.353,5856.101,40.747,6103.232,40.147,4917.229,40.481,4918.242
40.482,7172.165,40.505,6117.707,40.846,6055.246,40.164,4900.7,40.655,5013.086
40.576,7297.224,40.593,6268.183,40.963,6006.464,40.235,5010.788,40.76,5038.258
40.698,7357.768,40.665,6290.605,41.058,6003.303,40.313,5233.076,40.87,5051.563
40.833,7385.317,40.744,6313.82,41.187,6014.248,40.407,5259.203,41.042,5024.767
40.937,7374.17,40.837,6370.146,41.304,6032.612,40.487,5375.431,41.339,4973.599
41.045,7419.687,40.997,6349.801,41.366,6006.054,40.509,5421.816,41.603,4956.27
41.156,7431.129,41.163,6383.858,41.38,6008.365,40.54,5429.378,41.776,4906.684
41.249,7412.769,41.247,6356.662,41.421,5993.676,40.633,5414.474,42.096,4879.101
41.4,7374,41.347,6292.636,41.519,5879.267,40.727,5486.042,42.236,4792.081
41.57,7335.333,41.499,6248.39,41.631,5875.874,40.848,5528.22,42.401,4772.218
41.612,7329.738,41.608,6209.159,41.703,5802.023,40.951,5526.08,42.644,4739.69
41.668,7334.503,41.646,6195.453,41.775,5751.504,41.026,5527.138,42.794,4694.13
41.724,7320.547,41.766,6131.603,41.886,5789.854,41.135,5532.513,43.007,4614.815
41.801,7292.953,41.906,6095.501,41.989,5785.088,41.209,5531.563,43.168,4576.821
41.869,7285.319,42.001,6031.554,42.08,5756.715,41.267,5534.149,43.337,4555.637
41.908,7256.391,42.114,6026.601,42.138,5766.944,41.251,5531.005,43.6,4454.892
42.004,7235.074,42.254,6029.449,42.26,5737.584,41.262,5532.99,43.751,4452.605
42.1,7191.552,42.378,6003.277,42.341,5707.968,41.368,5520.216,43.936,4347.748
42.182,7162.677,42.494,5863.653,42.466,5686.46,41.415,5469.949,44.126,4210.319
42.257,7126.562,42.59,5855.836,42.545,5619.303,41.471,5437.939,44.39,4161.084
42.302,7093.252,42.676,5846.403,42.726,5426.411,41.519,5405.729,44.585,4255.54
42.385,7078.964,42.803,5766.97,42.802,5397.027,41.529,5402.896,44.726,4163.578
42.516,6928.85,42.927,5723.793,42.851,5381.745,41.542,5410.866,44.842,3991.681
42.538,6885.012,43.039,5526.792,42.965,5375.65,41.613,5403.767,45.034,3915.614
42.573,6908.011,43.114,5506.693,43.1,5337.922,41.701,5381.871,45.167,3851.252
42.754,6723.121,43.185,5462.386,43.257,5097.439,41.722,5382.287,45.323,3809.937
42.861,6669.246,43.269,5438.698,43.29,5111.452,41.833,5362.875,45.528,3748.644
42.935,6655.053,43.534,5398.97,43.305,5106.905,41.956,5336.073,45.694,3633.618
43.068,6574.86,43.584,5344.971,43.471,5076.086,42.181,5308.941,45.79,3556.467
43.113,6551.138,43.72,5226.065,43.555,4983.905,42.209,5303.607,45.921,3481.237
43.182,6564.362,43.829,5220.617,43.556,4982.311,42.224,5304.61,46.045,3568.784
43.233,6578.292,43.933,5213.339,43.62,4993.027,42.24,5304.149,46.345,3187.486
43.338,6444.883,44.056,5085.258,43.67,4974.415,42.251,5305.401,46.576,3136.68
43.405,6356.239,44.114,5090.866,43.814,4930.9,42.361,5285.189,46.78,3158.343
43.503,6322.896,44.271,5106.558,43.972,4801.356,42.448,5260.367,47.008,3163.603
43.559,6250.145,44.42,5068.42,44.132,4569.164,42.544,5273.392,47.294,3060.972
43.569,6265.921,44.454,4926.265,44.281,4416.281,42.732,5080.074,47.395,3026.859
43.59,6275.869,44.535,4935.714,44.35,4285.227,42.822,5044.445,47.585,3013.136
43.638,6237.852,44.703,4786.749,44.541,4217.691,42.842,5038.053,47.857,2891.704
43.642,6243.268,44.871,4614.478,44.684,4205.422,42.855,5042.228,48.025,2879.43
43.677,6219.684,44.997,4461.984,44.795,4205.646,42.943,5051.737,48.276,2894.132
43.7,6122.223,45.089,4380.842,44.931,4037.835,43.087,5077.829,48.552,2599.942
43.767,6118.975,45.232,4337.749,45.025,4011.845,43.231,4831.048,48.722,2579.908
43.908,5904.395,45.326,4310.913,45.223,3831.846,43.301,4823.938,48.994,2557.491
44.203,5890.495,45.361,4298.689,45.358,3824.461,43.489,4777.741,49.261,2555.098
44.674,5463.845,45.573,4063.642,45.432,3809.136,43.532,4764.51,49.388,2574.168
45.09,5107.868,45.751,3862.574,45.579,3790.094,43.58,4758.387,49.445,2575.597
45.232,4941.351,45.978,3856.99,45.684,3710.98,43.724,4762.954,49.486,2576.311
45.416,4880.357,46.113,3710.879,45.702,3693.525,43.832,4757.54,49.636,2584.384
45.948,4442.479,46.163,3600.373,45.768,3644.126,43.939,4740.924,49.76,2589.737
46.214,4129.886,46.325,3489.469,45.785,3665.243,44.088,4665.707,49.953,2597.009
46.452,3976.543,46.349,3391.063,45.908,3608.52,44.192,4557.947,50.097,2593.344
46.62,3906.492,46.356,3593.094,46.115,3461.39,44.215,4560.984,50.249,2595.278
46.9,3770.823,46.509,3470.553,46.369,3398.031,44.299,4526.8,50.362,2596.494
47.126,3828.062,46.6,3530.826,46.373,3392.631,44.425,4446.515,50.509,2596.468
47.38,3809.879,46.708,3572.722,46.47,3394.251,44.501,4408.253,50.62,2594.553
47.606,3489.967,46.797,3559.2,46.552,3396.361,44.522,4343.151,50.722,2594.141
47.837,3311.922,46.922,3502.515,46.576,3396.812,44.512,4315.975,50.962,2587.253
48.099,3345.548,47.014,3481.297,46.695,3301.085,44.577,4366.451,51.175,2580.596
48.311,2989.529,47.111,3477.123,46.81,3332.517,44.598,4288.587,51.317,2574.225
48.531,2823.616,47.298,3409.946,46.882,3247.449,44.777,4274.552,51.581,2564.922
48.697,2817.745,47.375,3394.635,47.079,3176.108,44.866,4234.291,51.788,2561.716
48.855,2826.168,47.485,3335.77,47.16,3167.494,44.916,4235.434,51.945,2563.472
49.056,2833.928,47.61,3255.287,47.346,3010.56,45.355,3764.185,52.088,2564.584
49.267,2843.516,47.723,3206.15,47.438,2988.123,45.712,3554.954,52.264,2568.871
49.318,2841.142,47.805,3142.593,47.466,2995.79,46.075,3529.308,52.43,2572.246
49.452,2845.59,47.862,3121.249,47.504,2986.299,46.435,3307.083,52.572,2576.104
49.653,2854.213,48.066,2990.789,47.614,2996.485,46.68,3286.023,52.776,2578.511
49.845,2855.373,48.2,2940.299,47.708,3001.688,47.057,3205.795,52.997,2585.88
50.129,2858.65,48.429,2845.135,47.792,2938.744,47.32,3201.301,53.289,2597.734
50.243,2859.876,48.498,2811.973,47.911,2888.211,47.602,3027.114,53.59,2606.501
50.149,2860.638,48.625,2762.969,48.032,2753.398,47.805,2926.031,53.81,2617.346
50.184,2865.203,48.721,2740.422,48.162,2689.392,48.042,2890.801,54.117,2622.021
50.301,2862.865,48.797,2735.706,48.276,2658.5,48.34,2804.716,54.424,2623.867
50.522,2879.108,48.935,2746.415,48.381,2667.595,48.386,2752.465,54.834,2624.597
50.764,2931.419,48.988,2747.646,48.468,2680.12,48.557,2689.751,55.179,2624.54
50.986,2954.514,49.145,2745.724,48.525,2685.6,48.71,2628.58,55.236,2623.784
51.252,2970.639,49.267,2741.542,48.557,2686.934,48.877,2617.843,55.323,2624.439
51.464,2971.596,49.422,2741.287,48.709,2692.825,49.078,2628.136,55.536,2623.422
51.733,2976.252,49.525,2742.702,48.842,2696.19,49.301,2601.839,55.647,2623.172
51.886,2979.591,49.613,2745.067,48.932,2699.761,49.538,2605.339,55.732,2622.464
52.159,3027.958,49.671,2744.751,49.079,2691.791,49.662,2605.519,55.849,2622.35
52.407,3113.165,49.769,2746.632,49.118,2676.335,49.784,2607.64,55.856,2622.095
52.651,3123.36,49.892,2745.021,49.218,2673.698,49.941,2605.517,55.871,2622.619
52.891,3128.411,49.989,2745.489,49.331,2669.964,50.083,2609.147,56.083,2622.618
53.16,3133.618,50.119,2745.074,49.371,2667.643,50.221,2616.167,56.255,2621.476
53.355,3139.467,50.211,2743.833,49.435,2667.438,50.407,2617.756,56.421,2621.493
53.563,3156.308,50.288,2741.969,49.526,2666.4,50.618,2617.529,56.588,2621.192
53.735,3180.813,50.401,2742.503,49.672,2667.705,50.811,2617.645,56.721,2621.071
